User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
Rushabh,Hello! How may I assist you?,2025-12-17 01:08:48
Rushabh,Hello! How may I assist you?,2025-12-17 01:09:15
Rushabh,Hi! How can I help you?,2025-12-17 01:09:23
Rushabh,Hello! How can I assist you today?,2025-12-17 01:09:51
Rushabh,Hello! How can I assist you today?,2025-12-17 01:10:19
Hello,Hi! How can I help you?,2025-12-17 01:10:43
I need some information.,Let me help you book an appointment. Which department do you need?,2025-12-17 01:11:04
hello,Hi! How can I help you?,2025-12-17 01:24:31
i need to book appointment,Sure! Please provide your preferred date and time.,2025-12-17 01:24:44
i want my hospital data,Hi! How can I help you?,2025-12-17 01:25:54
hello,Hello! How can I assist you today?,2025-12-17 01:35:33.041269
i need to book appointment,Let me help you book an appointment. Which department do you need?,2025-12-17 01:35:43.581466
what are hospital timings,Our hospital operates 24/7 for emergencies. Regular outpatient services are available from 8 AM to 8 PM.,2025-12-17 01:36:12.049673
i want medicines,We appreciate your feedback! Please visit our website or share it here.,2025-12-17 01:41:34.974249
i want medicines,We appreciate your feedback! Please visit our website or share it here.,2025-12-17 01:41:54.263092
i want medicines,We appreciate your feedback! Please visit our website or share it here.,2025-12-17 01:42:03.825829
i want medicines,We appreciate your feedback! Please visit our website or share it here.,2025-12-17 01:43:20.630212
